  0.000000000000000E+000  0.000000000000000E+000 -5.578263851346727E-007
   30958900.4476226       0.000000000000000E+000 -5.578263851346727E-007
   21542884.0545911       0.000000000000000E+000 -5.578263851346727E-007
   22985855.9731617       0.000000000000000E+000 -5.578263851346727E-007
   21558264.4918493       0.000000000000000E+000 -5.578263851346727E-007
   20937516.8471248       0.000000000000000E+000 -5.578263851346727E-007
   20136890.9026433       0.000000000000000E+000 -5.578263851346727E-007
   19419463.5872419       0.000000000000000E+000 -5.578263851346727E-007
   18713476.7585848       0.000000000000000E+000 -5.578263851346727E-007
   18036936.9185815       0.000000000000000E+000 -5.578263851346727E-007
   17383842.4020471       0.000000000000000E+000 -5.578263851346727E-007
   16754667.1104493       0.000000000000000E+000 -5.578263851346727E-007
   16148190.8777966       0.000000000000000E+000 -5.578263851346727E-007
   15563687.0316143       0.000000000000000E+000 -5.578263851346727E-007
   15000334.8053675       0.000000000000000E+000 -5.578263851346727E-007
   14457375.4017477       0.000000000000000E+000 -5.578263851346727E-007
   13934068.8451356       0.000000000000000E+000 -5.578263851346727E-007
   13429704.2605340       0.000000000000000E+000 -5.578263851346727E-007
   12943595.8836420       0.000000000000000E+000 -5.578263851346727E-007
   12475082.9386986       0.000000000000000E+000 -5.578263851346727E-007
   12023528.5229993       0.000000000000000E+000 -5.578263851346727E-007
   11588318.7997386       0.000000000000000E+000 -5.578263851346727E-007
   11168862.1473292       0.000000000000000E+000 -5.578263851346727E-007
   10764588.3599125       0.000000000000000E+000 -5.578263851346727E-007
   10374947.8707535       0.000000000000000E+000 -5.578263851346727E-007
   9999411.00555816       0.000000000000000E+000 -5.578263851346727E-007
   9637467.26250101       0.000000000000000E+000 -5.578263851346727E-007
   9288624.61793937       0.000000000000000E+000 -5.578263851346727E-007
   8952408.85794579       0.000000000000000E+000 -5.578263851346727E-007
   8628362.93341972       0.000000000000000E+000 -5.578263851346727E-007
   8316046.33878516       0.000000000000000E+000 -5.578263851346727E-007
   8015034.51334165       0.000000000000000E+000 -5.578263851346727E-007
   7724918.26386161       0.000000000000000E+000 -5.578263851346727E-007
   7445303.20863720       0.000000000000000E+000 -5.578263851346727E-007
   7175809.24104340       0.000000000000000E+000 -5.578263851346727E-007
   6916070.01313956       0.000000000000000E+000 -5.578263851346727E-007
